표제,편/권차,저 자,낱권 ISBN,낱권 부가기호,세트 ISBN,세트 부가기호,CIP 제어번호,판차,총서 표제,총서 편차,가격,발행일(예정),발행처,한국십진분류,듀이십진분류,납본여부,출판사홈페이지
범죄특별시 17권,,저자 : 김성동,979-11-346-2720-1,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 19권,,저자 : 김성동,979-11-346-2722-5,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 4권,,저자 : 김성동,979-11-346-2707-2,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 11권,,저자 : 김성동,979-11-346-2714-0,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 18권,,저자 : 김성동,979-11-346-2721-8,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 20권,,저자 : 김성동,979-11-346-2723-2,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 2권,,저자 : 김성동,979-11-346-2705-8,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 9권,,저자 : 김성동,979-11-346-2712-6,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 16권,,저자 : 김성동,979-11-346-2719-5,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 1권,,저자 : 김성동,979-11-346-2704-1,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 8권,,저자 : 김성동,979-11-346-2711-9,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 15권,,저자 : 김성동,979-11-346-2718-8,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 세트,,저자 : 김성동,,,979-11-346-2727-0,05810?,,,,,"11,500",20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 7권,,저자 : 김성동,979-11-346-2710-2,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 14권,,저자 : 김성동,979-11-346-2717-1,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 23권,,저자 : 김성동,979-11-346-2726-3,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄학 제대로 알기(제2판),,저자 : 양원규 배철효 정우열 장철영,979-11-6639-094-4,95350?,,,,제2판,,,"25,000",20180823,백산출판사,,,미납본,http://www.ibaeksan.kr
"여성 대상 범죄, 처벌 강화해야",,저자 : 김소영,979-11-272-4630-3,03340?,,,,,,,"12,000",20180821,(주식회사)부크크,,,미납본,
범죄와 생활법률,,지은이: 송희진,979-11-303-3238-3,93360?,,,,제2판,,,26000,20180820,박영사,,,미납본,http://www.pybook.co.kr
범죄사실 보도자료 배포와 공익성 (판결문 모음집),,저자 : 법률나무,979-11-284-1128-1,05360?,,,,,,,"39,000",20180814,서울문학,,,미납본,
현대사회와 범죄학,,허경미 저,979-11-303-0599-8,93350?,,,,제6판,,,29000,20180810,박영사,,,미납본,http://www.pybook.co.kr
암컷화 범죄 근절 계획,,저자 : Mocharo,,,979-11-6333-281-7,05650?,,,,,세트가미정,20180810,(주식회사)넥스큐브,,,미납본,
"범죄 공장 (La fabrique de crimes) 프랑스어, 오디오북 + 이북이 하나로 092 ◆ 부록 첨부",,저자 : Paul F?val,979-11-296-0435-4,05760?,,,,,,,"3,500",20180731,논객넷 출판사,,,미납본,
범죄 공장 (La fabrique de crimes) 프랑스어 문학 시리즈 110 ◆ 부록 첨부,,저자 : Paul F?val,979-11-296-0357-9,05760?,,,,,,,"2,500",20180731,논객넷 출판사,,,미납본,
(여성범죄 전담 형사가 들려주는) 미친놈들에게 당하지 않고 살아남는 법,,이회림 지음,979-11-88700-15-8,13510?,,,CIP2018018401?,,,,15800,20180720,청림life :청림출판,698.8,796.8,미납본,
범죄 콘서트,,저자 : 우문영,979-11-07-22907-4,05300?,,,,,,,"20,000",20180715,(주)컨텐츠포탈,,,미납본,
범죄 콘서트,,저자 : 우문영,979-11-07-22253-2,05300?,,,,,,,"70,000",20180715,(주)컨텐츠포탈,,,미납본,
장식과 범죄,,저자 : 아돌프 로스,978-89-94027-91-3,93610?,,,,,,,"25,000",20180710,미디어버스,,,미납본,http://www.mediabus.org
분기별 범죄동향 리포트 1분기,,저자 : 강은영,979-11-87160-87-8,93330?,,,,,,,비매품/무료,20180630,한국형사정책연구원,,,미납본,http://www.kic.re.kr
무심한 듯 시크하게-범죄의 시대(연재),,저자 : 한상운,979-11-294-7827-6,05810?,,,,,,,연재가,20180618,(주)로크미디어,,,미납본,http://www.rokmedia.com
범죄도시,,저자 : 현석,979-11-88739-43-1,05810?,,,,,,,12000,20180606,(주)필름몽,,,미납본,http://www.bookcine.com
(경비 지도사 clear) 범죄학,,편저: EBS교수진,979-11-254-4704-7,13350?,,,,개정7판,,,27000,20180605,시대고시기획,,,미납본,http://www.sidaegosi.com
범죄학,,저자 : 김형중 이도선 정의롬,978-89-5727-282-4,95330?,,,CIP2018017496?,,,,"17,000",20180605,(도서출판)그린,364.4,345.02,미납본,http://www.greenpress.co.kr
사이버범죄학 제2판,,저자 : 이성식,978-89-5727-275-6,95350?,,,CIP2018017221?,개정2판,,,"11,300",20180604,(도서출판)그린,364.291,364.168,미납본,http://www.greenpress.co.kr
한국의 범죄현상과 형사정책(2017),,저자 : 한국형사정책연구원,979-11-87160-88-5,93330?,,,,,,,"15,000",20180531,한국형사정책연구원,,,미납본,http://www.kic.re.kr
범죄특별시,22?,글·그림: 김성동,979-11-292-9714-3,07810?,979-11-292-9692-4,07810?,,,범죄특별시,22,4000,20180530,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,21?,글·그림: 김성동,979-11-292-9713-6,07810?,979-11-292-9692-4,07810?,,,범죄특별시,21,4000,20180530,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,23(완결)?,글·그림: 김성동,979-11-292-9715-0,07810?,979-11-292-9692-4,07810?,,,범죄특별시,23,4000,20180530,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,19?,글·그림: 김성동,979-11-292-9711-2,07810?,979-11-292-9692-4,07810?,,,범죄특별시,19,4000,20180528,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,20?,글·그림: 김성동,979-11-292-9712-9,07810?,979-11-292-9692-4,07810?,,,범죄특별시,20,4000,20180528,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,17?,글·그림: 김성동,979-11-292-9709-9,07810?,979-11-292-9692-4,07810?,,,범죄특별시,17,4000,20180525,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,18?,글·그림: 김성동,979-11-292-9710-5,07810?,979-11-292-9692-4,07810?,,,범죄특별시,18,4000,20180525,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,15?,글·그림: 김성동,979-11-292-9707-5,07810?,979-11-292-9692-4,07810?,,,범죄특별시,15,4000,20180523,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,16?,글·그림: 김성동,979-11-292-9708-2,07810?,979-11-292-9692-4,07810?,,,범죄특별시,16,4000,20180523,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,13?,글·그림: 김성동,979-11-292-9705-1,07810?,979-11-292-9692-4,07810?,,,범죄특별시,13,4000,20180521,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,14?,글·그림: 김성동,979-11-292-9706-8,07810?,979-11-292-9692-4,07810?,,,범죄특별시,14,4000,20180521,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,11?,글·그림: 김성동,979-11-292-9703-7,07810?,979-11-292-9692-4,07810?,,,범죄특별시,11,4000,20180518,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,12?,글·그림: 김성동,979-11-292-9704-4,07810?,979-11-292-9692-4,07810?,,,범죄특별시,12,4000,20180518,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,9?,글·그림: 김성동,979-11-292-9701-3,07810?,979-11-292-9692-4,07810?,,,범죄특별시,9,4000,20180516,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,10?,글·그림: 김성동,979-11-292-9702-0,07810?,979-11-292-9692-4,07810?,,,범죄특별시,10,4000,20180516,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,8?,글·그림: 김성동,979-11-292-9700-6,07810?,979-11-292-9692-4,07810?,,,범죄특별시,8,4000,20180514,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,7?,글·그림: 김성동,979-11-292-9699-3,07810?,979-11-292-9692-4,07810?,,,범죄특별시,7,4000,20180514,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,6?,글·그림: 김성동,979-11-292-9698-6,07810?,979-11-292-9692-4,07810?,,,범죄특별시,6,4000,20180510,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,5?,글·그림: 김성동,979-11-292-9697-9,07810?,979-11-292-9692-4,07810?,,,범죄특별시,5,4000,20180510,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,4?,글·그림: 김성동,979-11-292-9696-2,07810?,979-11-292-9692-4,07810?,,,범죄특별시,4,4000,20180508,미스터블루,,,미납본,http://www.mrblue.com
2018 핵심요해 범죄수사학,,저자 : 이동희 이윤 박노섭 장윤식,978-89-5819-199-5,13350?,,,CIP2018013486?,,,,"19,000",20180508,(사)경찰공제회,367.43077,363.25,미납본,http://www.pmaa.or.kr
범죄특별시,3?,글·그림: 김성동,979-11-292-9695-5,07810?,979-11-292-9692-4,07810?,,,범죄특별시,3,4000,20180508,미스터블루,,,미납본,http://www.mrblue.com
(신경향) 범죄학,,저자 : 김순석,979-11-5763-638-9,15350?,,,,,,,18000,20180508,백산출판사,,,미납본,http://www.ibaeksan.kr
여성 청소년 범죄 수사실무총서,,저자 : 박태곤,978-89-7535-662-9,95360?,,,,,,,"160,000",20180505,법문북스,,,미납본,http://www.law.co.kr
2018년판 범죄수사규칙,,저자 : 신현덕,978-89-5755-224-7,95360?,,,,,,,"160,000",20180505,법률 미디어,,,미납본,http://www.lawb.co.kr
범죄특별시,1?,글·그림: 김성동,979-11-292-9693-1,07810?,979-11-292-9692-4,07810?,,,범죄특별시,1,4000,20180504,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,2?,글·그림: 김성동,979-11-292-9694-8,07810?,979-11-292-9692-4,07810?,,,범죄특별시,2,4000,20180504,미스터블루,,,미납본,http://www.mrblue.com
범죄특별시,,저자 : 김성동,,,979-11-292-9692-4,07810?,,,,,"92,000",20180503,미스터블루(주식회사),,,미납본,http://www.mrblue.com
(재미있고 알기 쉬운) 범죄 심리학,,우치야마 아야코 감수 유엔제이 옮김,978-89-6754-090-6,03180?,,,,,,,13000,20180430,우듬지,,,미납본,
대한민국에서 범죄피해자가 되지 않는 법,,저자 : 배상훈,979-11-88331-25-3,05330?,,,CIP2018010700?,,,,"10,500",20180426,스노우폭스북스,334.2,361.1,미납본,
범죄자의 마음을 읽는 기술과 정의로운 경찰상,,저자 : 김원석,978-89-6541-363-9,93350?,,,,,,,"25,000",20180425,(도서출판)진영사,,,미납본,
